"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @strandofweb: @dnpr Saran untuk @GrabID dan juga @gojekindonesia, tolong buatkan fitur atau keterangan pada aplikasi yang menyertakan in…",FALSE,0,NA,2019-08-07 04:04:45,FALSE,NA,"1158952091970199555",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kesayangan05",132,TRUE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 04:04:25,FALSE,NA,"1158952005399826432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nithabells",5021,TRUE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 04:04:24,FALSE,NA,"1158952001591373824",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","heyyintan",5021,TRUE,FALSE,NA,NA
"@GrabID wkwk viral bgt dah ini collabnya a team",FALSE,0,"GrabID",2019-08-07 04:03:40,FALSE,"1158599674200117248","1158951819151724545","2322081114","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alifianbl",0,FALSE,FALSE,NA,NA
"RT @strandofweb: @dnpr Saran untuk @GrabID dan juga @gojekindonesia, tolong buatkan fitur atau keterangan pada aplikasi yang menyertakan in…",FALSE,0,NA,2019-08-07 04:03:38,FALSE,NA,"1158951812180746245",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pootatoesniall",132,TRUE,FALSE,NA,NA
"@friedamn Siap Kak. -Arthur",FALSE,0,"friedamn",2019-08-07 04:03:09,FALSE,"1158908123626651648","1158951686573981696","68348716","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","GrabID",0,FALSE,FALSE,NA,NA
"Awkarin iki lek ngomong bayar atek exposure maneh congoren ae rame rame. https://t.co/M39me9qbKW",FALSE,0,NA,2019-08-07 04:02:39,FALSE,NA,"1158951563433369605",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gilangalterego",0,FALSE,FALSE,NA,NA
"@GrabID ternyata grab dipenuhi riya. sepertinya saya akan memakai gojek mulai sekarang",FALSE,0,"GrabID",2019-08-07 04:02:29,FALSE,"1158599674200117248","1158951521385533440","2322081114","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dimjancuk",0,FALSE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 04:02:15,FALSE,NA,"1158951461444734976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","capedikepoin",5021,TRUE,FALSE,NA,NA
"AWKOWKWK https://t.co/lO2xfZpE39",FALSE,0,NA,2019-08-07 04:02:14,FALSE,NA,"1158951456239570944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","reksiutamii",0,FALSE,FALSE,NA,NA
"Big thanks to @gojekindonesia yg selalu kasih voucher+++ ,@GrabID mana nih kode2nyaa?",FALSE,0,NA,2019-08-07 04:01:41,FALSE,NA,"1158951319073222658",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oriholy",0,FALSE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 04:01:41,FALSE,NA,"1158951318783848448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rdnalvn",5021,TRUE,FALSE,NA,NA
"@mypelipurlara Kenapa ya Kak? boleh ya diinformasikan dgn detail ke aku keluhannya apa Kak. Terima kasih. -Anji",FALSE,0,"mypelipurlara",2019-08-07 04:00:28,FALSE,"1158912372192337920","1158951013430071297","69512339","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","GrabID",0,FALSE,FALSE,NA,NA
"@GrabID Pakai pesen @McDonalds_ID aja apa itu OVO points 14045",FALSE,0,"GrabID",2019-08-07 03:59:56,FALSE,"1158599674200117248","1158950878352572418","2322081114","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adipardana",0,FALSE,FALSE,NA,NA
"RT @strandofweb: @dnpr Saran untuk @GrabID dan juga @gojekindonesia, tolong buatkan fitur atau keterangan pada aplikasi yang menyertakan in…",FALSE,0,NA,2019-08-07 03:59:45,FALSE,NA,"1158950831648985088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nandanaziva",132,TRUE,FALSE,NA,NA
"@GrabID Beli rumah pake ovo bisa neh <U+0001F602>",FALSE,0,"GrabID",2019-08-07 03:59:34,FALSE,"1158599674200117248","1158950787772321793","2322081114","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alberthpalit9",0,FALSE,FALSE,NA,NA
"@vionaansila Ya ampun, siap Kak! 
Sudah kami respon ya melalui pesan/DM, silakan di cek. -Astuti",FALSE,0,"vionaansila",2019-08-07 03:59:02,FALSE,"1158912899626106880","1158950652103413760","79903889","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","GrabID",0,FALSE,FALSE,NA,NA
"@sarolivia Maaf ya Kak, terkait laporan Kakak sebelumnya. Aku bantu tindak lanjuti ya. mohon informasikan melalui D… https://t.co/VCgOAeTXPm",FALSE,0,"sarolivia",2019-08-07 03:57:57,TRUE,"1158912265216614401","1158950379624660993","65005449","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","GrabID",0,FALSE,FALSE,NA,NA
"mo beli mie ayam bayat beserta 7 turunannya https://t.co/gb15sz3H5Z",FALSE,0,NA,2019-08-07 03:57:50,FALSE,NA,"1158950349077508098",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jordhanic",0,FALSE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 03:57:47,FALSE,NA,"1158950336423317504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bacotnyaoi",5021,TRUE,FALSE,NA,NA
"RT @idwiki: @GrabID Jiwa ""kismin""ku bergejolak, min. :(",FALSE,0,NA,2019-08-07 03:57:36,FALSE,NA,"1158950291162554368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adidict",192,TRUE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 03:57:33,FALSE,NA,"1158950279716298752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gaskafedi",5021,TRUE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 03:57:33,FALSE,NA,"1158950277828861952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adipardana",5021,TRUE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 03:57:27,FALSE,NA,"1158950252579155968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","astrournot",5021,TRUE,FALSE,NA,NA
"@GrabID pagi min, Saya mau nanya, kan saya daftar grab bike, trus sudah ada panggilan ke kantor. Tapi disebutin har… https://t.co/HametITJOF",FALSE,0,"GrabID",2019-08-07 03:57:22,TRUE,NA,"1158950231788048386","2322081114","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AKaepci",0,FALSE,FALSE,NA,NA
